well,group,include,note
A1,7889,1,
A2,7889,1,
A3,7889,1,
A4,7889,1,
A5,7889,1,
A6,7889,1,
A7,7889,1,
A8,Empty,0,empty well
B1,7889,1,
B2,7889,1,
B3,7889,1,
B4,7889,1,
B5,7889,1,
B6,7889,1,
B7,7889,1,
B8,7889,1,
C1,P1153,1,
C2,P1153,1,
C3,P1153,1,
C4,P1153,1,
C5,P1153,1,
C6,P1153,1,
C7,P1153,1,
C8,P1153,1,
D1,P1153,1,
D2,P1153,1,
D3,P1153,1,
D4,P1153,1,
D5,P1153,1,
D6,P1153,1,
D7,P1153,1,
D8,P1153,1,
E1,P4C4,1,
E2,P4C4,1,
E3,P4C4,1,
E4,P4C4,1,
E5,P4C4,1,
E6,P4C4,1,
E7,P4C4,1,
E8,P4C4,1,
F1,P4C4,1,
F2,P4C4,1,
F3,P4C4,1,
F4,P4C4,1,
F5,P4C4,1,
F6,P4C4,1,
F7,P4C4,1,
F8,Empty,0,empty well
